sample_id,crop_type,state,season,soil_type,temperature_celsius,humidity_percent,rainfall_mm,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,wind_speed_kmh,sunlight_hours,leaf_wetness_hours,field_area_hectares,days_after_sowing,irrigation_type,prev_disease_history,disease_label,severity_score,severity_label,treatment_cost_inr,yield_loss_percent
FDP-00001,Wheat,Maharashtra,Zaid,Loam,20.8,74.3,132.95,6.63,51.1,41.1,61.7,2.5,11.8,15.2,5.7,43,Drip,0,Rust Disease,0.774,Severe,10848,65.7
FDP-00002,Rice,West Bengal,Kharif,Clay,26.3,50.6,92.24,6.81,67.2,48.5,66.3,16.1,5.1,6.0,9.48,92,Furrow,0,Healthy,0.02,None,0,0.0
FDP-00003,Barley,Bihar,Rabi,Clay,22.4,73.9,121.35,5.89,49.3,43.1,45.8,3.5,11.6,17.4,20.31,90,Drip,1,Rust Disease,0.831,Severe,13231,69.4
FDP-00004,Maize,Rajasthan,Kharif,Red Laterite,30.6,80.0,167.71,6.1,62.3,37.4,41.3,2.8,11.3,5.4,16.73,28,Rainfed,0,Leaf Blight,0.368,Mild,1204,14.1
FDP-00005,Sugarcane,Jharkhand,Zaid,Sandy Loam,16.4,83.5,155.73,6.57,51.8,35.9,44.4,10.9,6.2,15.1,9.24,63,Furrow,0,Downy Mildew,0.505,Moderate,7149,35.5
FDP-00006,Sorghum,Punjab,Kharif,Black Cotton,26.5,66.7,62.68,6.83,52.4,38.6,56.1,2.1,10.5,13.0,18.36,20,Sprinkler,0,Mosaic Virus,0.99,Severe,15628,75.3
FDP-00007,Sugarcane,Rajasthan,Zaid,Red Laterite,21.6,58.5,53.31,7.33,56.8,46.4,51.0,18.8,9.1,16.1,12.07,35,Sprinkler,1,Powdery Mildew,0.447,Mild,1046,15.5
FDP-00008,Rice,Haryana,Zaid,Black Cotton,28.9,79.0,127.1,6.4,55.3,37.3,51.6,14.0,7.4,1.4,3.14,83,Flood,0,Bacterial Wilt,0.624,Moderate,4211,44.7
FDP-00009,Barley,Rajasthan,Kharif,Black Cotton,20.1,73.5,121.84,5.75,51.2,44.6,61.1,7.3,4.6,5.9,4.45,113,Flood,0,Rust Disease,0.875,Severe,18336,59.0
FDP-00010,Sorghum,Maharashtra,Zaid,Loam,24.1,56.3,105.48,6.62,83.4,60.6,76.5,20.6,11.2,6.4,3.2,98,Rainfed,1,Healthy,0.088,None,0,0.0
FDP-00011,Maize,Maharashtra,Rabi,Clay,19.3,67.7,125.92,6.32,52.5,41.1,44.2,4.8,6.7,17.0,8.42,110,Furrow,1,Rust Disease,0.6,Moderate,6780,30.0
